N,P,K,temperature,humidity,ph,rainfall,N_P_ratio,N_K_ratio,P_K_ratio,NPK_total,temp_humidity_index,rainfall_category,ph_category,label_encoded
7,13,29,24.56,76.89,6.95,40.23,0.5384614970414233,0.24137930202140337,0.4482758466111777,49,73.860024,0.0,2.0,10
22,66,51,24.83,92.08,7.42,137.16,0.33333332828282836,0.43137254056132274,1.2941176216839683,139,75.867944,2.0,2.0,16
3,33,26,25.89,65.12,7.28,34.23,0.09090908815427007,0.11538461094674572,1.269230720414203,62,74.594288,0.0,2.0,9
32,62,74,19.2711788,12.16095312,6.249375583,92.22718904,0.5161290239334029,0.43243242658875103,0.837837826515705,168,62.40932481025938,1.0,1.0,11
0,35,27,24.12,65.34,7.05,40.56,0.0,0.0,1.2962962482853242,62,72.047048,0.0,2.0,9
7,31,27,29.67,92.56,7.18,175.23,0.22580644432882438,0.2592592496570648,1.1481481056241443,65,84.269912,2.0,2.0,3
37,43,47,24.12,80.67,6.72,105.56,0.8604650962682536,0.7872340258035314,0.9148935975554554,127,73.537124,2.0,2.0,21
100,18,200,26.1899982,52.1283436,5.013863622,103.0069844,5.555555246913597,0.4999999975,0.08999999955,318,73.49792933212981,2.0,0.0,8
25,64,47,22.94,91.03,7.89,120.31,0.3906249938964845,0.5319148822996834,1.3617020986871895,136,72.52596199999999,2.0,3.0,16
48,58,47,29.35,65.18,6.69,75.46,0.8275861926278243,1.0212765740153922,1.2340425269352655,153,79.62441000000001,1.0,2.0,17
1,17,24,24.12,77.56,6.75,44.89,0.05882352595155729,0.041666664930555625,0.7083333038194456,42,73.23483200000001,0.0,2.0,10
1,36,28,22.78,66.89,7.35,42.12,0.027777777006172864,0.035714284438775556,1.28571423979592,65,70.229382,0.0,2.0,9
30,50,38,26.34,81.45,6.52,88.56,0.5999999880000003,0.7894736634349037,1.3157894390581728,118,77.19713,1.0,2.0,21
39,2,1,38.12,26.12,6.65,16.56,19.499990250004874,38.999961000039,1.9999980000020001,42,83.091664,0.0,2.0,19
19,61,24,26.78,53.78,6.08,78.56,0.3114754047299114,0.7916666336805569,2.5416665607638933,104,74.481964,1.0,1.0,5
21,67,75,20.76498922,14.29478038,6.508174822,75.84636538,0.3134328311427936,0.2799999962666667,0.8933333214222224,163,63.921852606209676,1.0,2.0,11
41,3,0,37.45,24.56,7.18,14.12,13.666662111112629,41000000.0,3000000.0,44,82.02108000000001,0.0,2.0,19
2,32,18,28.67,54.56,5.95,48.56,0.06249999804687507,0.11111110493827195,1.7777776790123512,52,77.121712,0.0,1.0,13
2,32,25,25.34,64.56,7.15,38.34,0.06249999804687507,0.07999999680000013,1.279999948800002,59,73.734864,0.0,2.0,9
32,58,50,24.16,90.75,7.38,145.87,0.5517241284185496,0.6399999872000003,1.1599999768000004,140,74.5852,2.0,2.0,16
12,17,49,27.56,81.78,6.08,130.89,0.7058823114186875,0.24489795418575605,0.3469387684298211,78,79.210248,2.0,1.0,1
98,52,36,24.01225938,82.10845498,7.547381932,203.2001907,1.8846153483727819,2.7222221466049406,1.444444404320989,186,73.50228516958813,3.0,3.0,20
93,18,38,26.80534378,63.28948198,5.788963598,86.65748648,5.166666379629645,2.447368356648201,0.4736841980609422,149,75.69555284020015,1.0,1.0,6
83,20,39,24.24862568,61.39618638,5.678928318,87.45168918,4.14999979250001,2.1282050736357676,0.5128204996712693,142,71.84558112236134,1.0,1.0,6
1,36,31,27.89,89.45,7.12,202.56,0.027777777006172864,0.032258063475546335,1.1612902851196683,68,80.778805,3.0,2.0,3
3,33,24,31.34,45.12,7.18,25.78,0.09090908815427007,0.12499999479166687,1.3749999427083357,60,79.115328,0.0,2.0,14
95,20,195,26.47049934,48.85426284,5.615048073,96.31261828,4.749999762500011,0.48717948468113087,0.1025641020381328,310,73.47335294566406,1.0,1.0,8
18,33,70,21.78,90.12,6.15,88.45,0.5454545289256204,0.2571428534693878,0.47142856469387767,121,70.474856,1.0,1.0,0
100,26,194,24.13186913,52.94153674,5.853818885,106.5416924,3.8461536982248576,0.5154639148687428,0.1340206178658731,320,70.85769637494766,2.0,1.0,8
0,35,25,28.45,45.34,6.85,35.12,0.0,0.0,1.3999999440000022,60,75.53027,0.0,2.0,14
15,132,4,27.34,51.45,6.48,98.78,0.1136363627754821,3.749999062500234,32.99999175000206,151,74.92963,1.0,1.0,7
4,29,23,24.56,63.45,6.92,36.56,0.13793102972651622,0.17391303591682453,1.2608695103969778,56,72.49452,0.0,2.0,9
15,34,52,27.09016818,85.65248518,5.854816288,123.8516138,0.44117645761245716,0.2884615329142013,0.6538461412721897,101,78.94157896369157,2.0,1.0,4
4,29,16,27.12,53.45,6.12,55.34,0.13793102972651622,0.24999998437500096,1.812499886718757,49,74.89484,1.0,1.0,13
23,31,64,21.12,94.12,5.92,108.67,0.7419354599375658,0.3593749943847657,0.4843749924316408,118,69.620864,2.0,1.0,0
19,134,2,26.78,53.12,6.58,104.45,0.1417910437179773,9.499995250002375,66.99996650001674,155,74.400256,2.0,2.0,7
0,34,29,24.34,69.34,6.78,44.56,0.0,0.0,1.1724137526753877,63,72.764396,0.0,2.0,9
22,15,18,30.12,62.78,6.92,28.45,1.4666665688888956,1.2222221543209915,0.8333332870370396,55,80.365016,0.0,2.0,12
1,36,26,28.78,46.89,7.12,40.12,0.027777777006172864,0.03846153698224858,1.3846153313609488,63,76.166782,0.0,2.0,14
23,14,17,30.67,63.45,6.95,25.89,1.6428570255102126,1.3529410968858178,0.8235293633218022,54,81.259315,0.0,2.0,12
93,25,188,23.74145164,49.21098218,5.098696184,102.6534218,3.7199998512000056,0.49468084843254867,0.13297872269692168,306,69.99018141391372,2.0,0.0,8
95,45,36,21.64483634,80.31668948,6.608590285,207.0613178,2.111111064197532,2.638888815586422,1.249999965277779,176,69.53468177853199,3.0,2.0,20
93,56,36,22.39265012,82.56654665,7.738488079,231.1656125,1.660714256058674,2.5833332615740763,1.5555555123456803,185,70.91337528590108,3.0,3.0,20
6,43,36,20.67,86.78,6.35,98.56,0.13953488047593302,0.16666666203703717,1.194444411265433,85,68.377106,1.0,1.0,18
79,23,33,23.0102498,64.28858038,7.078684098,89.47874728,3.4347824593572844,2.3939393213957785,0.6969696758494038,135,70.34360720359179,1.0,2.0,6
5,14,32,23.94,75.56,6.78,42.67,0.3571428316326549,0.15624999511718765,0.4374999863281255,51,72.760424,0.0,2.0,10
5,38,30,23.89,68.12,6.85,45.78,0.13157894390581729,0.16666666111111128,1.2666666244444458,73,71.97658799999999,0.0,2.0,9
7,45,51,24.29489898,87.16898148,5.623854158,97.14618948,0.1555555520987655,0.1372548992695118,0.882352923875433,103,74.4612018433409,1.0,1.0,4
2,32,23,31.56,44.56,6.92,32.34,0.06249999804687507,0.08695651795841226,1.3913042873345962,57,79.294496,0.0,2.0,14
13,16,48,27.12,83.89,6.05,128.45,0.8124999492187531,0.27083332769097235,0.3333333263888891,77,78.766808,2.0,1.0,1
4,16,26,21.45,79.45,7.22,48.56,0.24999998437500096,0.15384614792899431,0.6153845917159773,46,69.161225,0.0,2.0,10
20,27,30,23.98,96.25,7.01,50.54,0.7407407133058995,0.6666666444444451,0.899999970000001,77,74.80475,1.0,2.0,15
8,22,42,25.34,87.56,5.92,155.67,0.36363634710743875,0.1904761859410432,0.5238095113378688,72,76.251064,2.0,1.0,1
9,21,43,25.67,88.34,5.95,152.12,0.4285714081632663,0.20930232071389954,0.48837208166576557,73,76.891918,2.0,1.0,1
15,18,50,26.78,82.12,6.12,135.23,0.8333332870370396,0.29999999400000016,0.35999999280000017,83,77.990456,2.0,1.0,1
32,62,76,16.65416454,15.41498654,5.656250108,86.55637078,0.5161290239334029,0.42105262603878124,0.8157894629501387,170,60.07081079243045,1.0,1.0,11
22,25,33,24.12,97.12,7.15,55.34,0.8799999648000014,0.6666666464646471,0.7575757346189171,80,75.136064,1.0,2.0,15
19,27,66,25.03,93.87,5.85,110.56,0.7037036776406045,0.28787878351698815,0.4090909028925621,112,76.402381,2.0,1.0,0
1,4,21,27.89,86.89,6.72,175.12,0.24999993750001562,0.04761904535147403,0.19047618140589612,26,80.433461,2.0,2.0,2
22,58,18,28.12,56.56,6.42,72.78,0.3793103382877528,1.2222221543209915,3.2222220432098863,98,76.656032,1.0,1.0,5
14,30,55,27.15098014,94.84454328,5.424529145,41.06141618,0.4666666511111116,0.25454544991735545,0.5454545355371903,99,80.2143929895065,0.0,0.0,4
22,128,6,28.89,49.12,6.35,92.56,0.17187499865722658,3.666666055555657,21.33332977777837,156,76.62948800000001,1.0,1.0,7
36,46,44,22.63,82.89,6.42,120.34,0.7826086786389418,0.8181817995867773,1.0454545216942155,126,71.325847,2.0,1.0,21
21,19,16,29.23,61.89,7.05,36.45,1.1052630997229946,1.312499917968755,1.1874999257812546,56,78.962287,0.0,2.0,12
37,66,64,24.69163452,12.4116098,6.218652483,97.25348612,0.5606060521120295,0.578124990966797,1.031249983886719,167,67.43066513466451,1.0,1.0,11
14,19,47,26.45,84.45,6.18,138.56,0.7368420664819965,0.2978723340878227,0.40425531054775937,80,77.73622499999999,2.0,1.0,1
5,45,38,21.56,87.12,6.12,102.34,0.11111110864197538,0.13157894390581729,1.1842104951523555,88,69.885792,2.0,1.0,18
29,65,70,22.22154584,13.48498442,6.362607851,47.89278058,0.44615383928994096,0.414285708367347,0.9285714153061226,164,65.23197090992716,0.0,1.0,11
80,27,32,28.76786768,67.87234608,6.138613024,98.5610688,2.962962853223598,2.4999999218750024,0.8437499736328133,139,79.16610302008607,1.0,1.0,6
2,38,33,27.45,90.12,6.65,195.34,0.05263157756232691,0.060606058769513374,1.1515151166207542,73,80.12066,2.0,2.0,3
35,47,43,23.56,85.12,6.78,101.34,0.7446808352195567,0.8139534694429427,1.0930232303948086,125,73.044992,2.0,2.0,21
10,39,53,28.47185034,84.34818618,5.914849218,112.4156848,0.25641024983563465,0.1886792417230332,0.7358490427198294,102,81.04683079575416,2.0,1.0,4
32,2,1,41.34,20.12,6.72,8.56,15.999992000004,31.999968000032002,1.9999980000020001,35,84.89232799999999,0.0,2.0,19
23,56,16,27.34,57.45,6.28,65.34,0.4107142783801022,1.4374999101562556,3.4999997812500134,95,75.70603,1.0,1.0,5
94,53,40,20.27774362,82.89408619,5.718627177,241.9741498,1.773584872196512,2.3499999412500014,1.324999966875001,187,67.49449675839003,3.0,1.0,20
11,37,29,19.45,80.89,6.82,82.34,0.2972972892622354,0.37931033174791956,1.275862024970275,77,66.044945,1.0,2.0,18
5,31,17,27.89,51.89,6.08,45.12,0.1612903173777317,0.2941176297577865,1.823529304498276,53,75.711961,0.0,1.0,13
89,54,38,24.51588066,83.53521629,6.685346464,230.4462359,1.6481481176268868,2.3421052015235473,1.4210525941828265,181,74.46302731696929,3.0,2.0,20
21,26,34,24.78,97.56,7.22,52.67,0.8076922766272201,0.61764704065744,0.7647058598615925,81,76.350728,1.0,2.0,15
93,20,195,25.72652661,51.58095814,5.610963818,102.7026162,4.649999767500011,0.4769230744773176,0.1025641020381328,308,72.82355223742006,2.0,1.0,8
5,5,15,25.78,82.78,6.55,152.56,0.99999980000004,0.3333333111111126,0.3333333111111126,25,76.44436400000001,2.0,2.0,2
24,57,17,27.89,51.89,6.38,62.56,0.42105262419205924,1.411764622837375,3.352940979238766,98,75.711961,1.0,1.0,5
27,60,68,25.65710909,15.35514345,6.226713424,95.32654704,0.44999999250000017,0.39705881769031154,0.8823529282006922,155,68.6542325210925,1.0,1.0,11
28,52,40,25.18,84.56,6.15,95.67,0.538461528106509,0.6999999825000005,1.299999967500001,120,75.65956800000001,1.0,1.0,21
29,69,69,18.86174448,14.97781498,5.759597416,121.1549632,0.42028984898130656,0.42028984898130656,0.9999999855072467,167,62.157667417094764,2.0,1.0,11
53,62,63,21.16767019,15.05254468,5.411696849,130.3540788,0.8548386958896985,0.841269827916352,0.9841269685059212,178,64.35284273114479,2.0,0.0,11
25,125,8,29.12,52.56,6.12,88.45,0.19999999840000002,3.124999609375049,15.624998046875245,158,77.432832,1.0,1.0,7
55,68,48,33.29,65.5,6.72,60.14,0.8088235175173012,1.145833309461806,1.4166666371527785,171,85.40495,1.0,2.0,17
0,35,30,28.56,92.34,6.8,200.12,0.0,0.0,1.166666627777779,65,82.32334399999999,3.0,2.0,3
2,8,17,25.89,81.89,6.38,145.56,0.24999996875000394,0.11764705190311459,0.47058820761245834,27,76.521161,2.0,1.0,2
103,22,192,27.34987474,50.77741788,5.413613165,105.5612138,4.681817969008274,0.5364583305392795,0.11458333273654514,317,74.85551180366636,2.0,0.0,8
28,63,49,22.68,90.38,7.91,135.74,0.44444443738977085,0.5714285597667641,1.2857142594752193,140,72.027464,2.0,3.0,16
3,11,27,22.12,82.12,7.08,55.89,0.2727272479338866,0.11111110699588492,0.4074073923182447,41,70.435664,1.0,2.0,10
6,29,26,28.34,93.12,6.75,188.12,0.20689654458977433,0.23076922189349144,1.1153845724852087,61,82.05292800000001,2.0,2.0,3
9,9,31,23.67,74.78,6.82,36.78,0.9999998888889013,0.29032257127991706,0.29032257127991706,49,72.268106,0.0,2.0,10
24,127,3,29.78,50.12,6.52,87.89,0.18897637646475293,7.999997333334222,42.333319222226926,154,77.932456,1.0,2.0,7
0,34,27,29.89,49.34,6.58,42.56,0.0,0.0,1.259259212620029,61,77.954766,0.0,2.0,14
83,51,41,24.35928659,80.92178539,6.950206039,204.8004864,1.627450948481354,2.0243901945270686,1.2439024086853072,175,73.94666179273484,3.0,2.0,20
14,23,25,30.45,69.34,6.38,44.56,0.6086956257088858,0.5599999776000009,0.9199999632000014,62,81.88907,0.0,1.0,12
33,66,71,20.41284759,12.70111895,6.068516553,84.27750598,0.49999999242424253,0.46478872584804615,0.9295774516960923,170,63.493976996688104,1.0,1.0,11
88,22,36,28.30025654,65.68042994,6.224412918,84.97221948,3.999999818181826,2.444444376543212,0.611111094135803,146,78.16995349023497,1.0,1.0,6
25,23,31,23.56,96.78,7.08,48.56,1.0869564744801532,0.8064515868886585,0.7419354599375658,79,74.11304799999999,0.0,2.0,15
29,53,39,21.78,83.45,6.58,98.89,0.5471698009967962,0.7435897245233405,1.3589743241288637,121,69.98261,1.0,2.0,21
4,2,18,28.12,84.56,6.42,158.78,1.9999990000005,0.2222222098765439,0.11111110493827195,24,80.49763200000001,2.0,1.0,2
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,1.0909090710743805,1.3636363326446288,1.2499999715909098,159,71.88682373569885,3.0,3.0,20
17,22,24,29.89,66.89,6.45,38.78,0.7727272376033073,0.7083333038194456,0.9166666284722238,63,80.673261,0.0,1.0,12
10,38,30,22.34,82.78,6.48,88.12,0.26315788781163457,0.33333332222222256,1.2666666244444458,78,70.844732,1.0,1.0,18
17,32,69,25.57,61.48,6.07,80.65,0.5312499833984381,0.24637680802352452,0.46376810922075207,118,73.723316,1.0,1.0,0
20,60,20,25.12,55.34,6.35,75.12,0.3333333277777779,0.9999999500000024,2.999999850000007,100,72.428448,1.0,1.0,5
8,40,33,19.89,84.56,6.55,92.78,0.19999999500000012,0.2424242350780535,1.2121211753902674,81,66.95434399999999,1.0,2.0,18
60,45,40,19.05027752,82.69749494,5.474830485,202.1340924,1.3333333037037045,1.4999999625000011,1.1249999718750008,145,65.48588503279797,3.0,0.0,20
40,60,65,22.78919368,11.7568074,5.981048558,113.8453468,0.6666666555555558,0.6153846059171599,0.9230769088757399,165,65.61765628737058,2.0,1.0,11
17,63,22,25.56,59.34,6.65,85.78,0.26984126555807514,0.7727272376033073,2.8636362334710803,102,73.470344,1.0,2.0,5
5,0,22,27.12,89.34,6.65,178.78,5000000.0,0.2272727169421492,0.0,27,79.460048,2.0,2.0,2
87,25,30,20.44072785,64.6098384,7.089784268,83.76178508,3.4799998608000053,2.8999999033333363,0.8333333055555564,142,66.65548678206879,1.0,2.0,6
4,29,21,30.67,43.45,6.65,30.56,0.13793102972651622,0.19047618140589612,1.3809523151927467,54,78.005315,0.0,2.0,14
8,43,45,28.42158228,86.11614368,5.741050798,104.9218462,0.18604650730124403,0.1777777738271606,0.9555555343209882,96,81.21211176645423,2.0,1.0,4
21,29,67,22.34,92.56,6.05,101.34,0.7241379060642101,0.3134328311427936,0.43283581443528635,117,71.621264,2.0,1.0,0
3,6,16,25.34,83.45,6.28,148.34,0.49999991666668053,0.18749998828125072,0.37499997656250145,25,75.80143,2.0,1.0,2
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,1.4655172161117722,2.073170681142179,1.4146341118381924,184,69.73629794846076,3.0,2.0,20
17,131,8,27.12,52.34,6.28,96.56,0.12977099137579395,2.1249997343750335,16.374997953125256,156,74.753648,1.0,1.0,7
96,21,201,25.94152432,48.4629498,4.876403198,98.6536488,4.571428353741506,0.4776119379223287,0.1044776114205094,318,72.7465825933564,1.0,0.0,8
19,30,27,26.12,94.89,6.82,40.89,0.6333333122222229,0.7037036776406045,1.1111110699588491,76,78.417108,0.0,2.0,15
21,129,5,28.45,48.67,6.42,90.34,0.16279069641247523,4.199999160000168,25.79999484000103,155,75.99813499999999,1.0,1.0,7
0,35,20,25.12,55.34,5.85,60.12,0.0,0.0,1.7499999125000043,55,72.428448,1.0,1.0,13
0,33,29,28.12,90.78,6.82,192.45,0.0,0.0,1.1379309952437588,62,81.351016,2.0,2.0,3
26,65,76,17.94169252,14.05858059,5.318437285,67.23953064,0.399999993846154,0.34210525865650976,0.8552631466412745,167,61.2512657131742,1.0,0.0,11
5,30,25,26.78,88.56,7.05,185.67,0.16666666111111128,0.19999999200000032,1.199999952000002,60,78.787728,2.0,2.0,3
44,66,55,30.48,64.75,6.82,88.9,0.6666666565656567,0.7999999854545458,1.1999999781818187,165,81.19579999999999,1.0,2.0,17
83,45,41,21.36658159,80.38863794,7.463094357,233.1075816,1.844444403456791,2.0243901945270686,1.097560948839977,169,69.09360532317979,3.0,2.0,20
3,37,34,26.56,87.89,6.58,198.78,0.08108107888970058,0.08823529152249143,1.0882352621107276,74,78.33542399999999,2.0,2.0,3
20,28,65,23.42,93.48,6.35,112.34,0.7142856887755111,0.30769230295857997,0.43076922414201196,113,73.567896,2.0,1.0,0
100,18,200,26.18,52.12,5.01,103.0,5.555555246913597,0.4999999975,0.08999999955,318,73.483736,2.0,0.0,6
19,17,21,31.56,65.12,6.55,30.23,1.1176469930795885,0.9047618616780065,0.8095237709750585,57,82.82259199999999,0.0,2.0,12
12,32,56,27.12164918,83.12549498,6.284896498,108.6528498,0.3749999882812504,0.21428571045918376,0.57142856122449,100,78.67225319449412,2.0,1.0,4
0,7,19,28.56,85.12,6.48,155.12,0.0,0.0,0.36842103324099823,26,81.30099200000001,2.0,1.0,2
3,30,20,30.12,42.78,7.05,28.56,0.09999999666666677,0.14999999250000037,1.4999999250000036,53,77.221016,0.0,2.0,14
3,33,19,28.34,55.12,5.98,50.78,0.09090908815427007,0.15789472853185638,1.7368420138504201,55,76.755728,1.0,1.0,13
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,1.2545454317355376,1.8157894259002785,1.44736838296399,162,71.43344539589613,3.0,1.0,20
100,17,50,28.18,65.02,6.35,68.21,5.882352595155729,1.999999960000001,0.33999999320000013,167,77.903756,1.0,1.0,17
27,69,45,23.72,91.49,7.65,128.93,0.39130434215500953,0.599999986666667,1.53333329925926,141,73.902868,2.0,3.0,16
30,61,48,23.15,89.94,7.78,141.23,0.4918032706261759,0.6249999869791669,1.2708333068576394,139,72.78975,2.0,3.0,16
40,5,3,38.56,25.78,7.12,15.34,7.99999840000032,13.33332888889037,1.6666661111112961,48,83.476448,0.0,2.0,19
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,1.1724137728894177,1.789473637119115,1.5263157493074804,164,72.30600932565288,3.0,1.0,20
6,1,24,26.78,87.78,6.08,168.56,5.999994000006001,0.24999998958333375,0.041666664930555625,31,78.691164,2.0,1.0,2
29,62,52,22.31,92.56,7.5,112.85,0.46774192793964636,0.5576922969674558,1.1923076693786987,143,71.56949599999999,2.0,2.0,16
7,33,55,25.3959612,85.19510832,6.457593798,146.3893944,0.21212120569329682,0.12727272495867772,0.5999999890909093,95,76.08479001516517,2.0,1.0,4
91,22,179,25.63495403,51.44839137,4.619763798,94.56610624,4.136363448347116,0.5083798854280454,0.12290502724634063,292,72.68816634359399,1.0,0.0,8
34,4,3,43.23,20.89,7.08,7.89,8.499997875000531,11.333329555556814,1.333332888889037,41,87.006587,0.0,2.0,19
2,15,25,24.38,73.48,6.89,38.56,0.13333332444444504,0.07999999680000013,0.599999976000001,42,73.237304,0.0,2.0,10
15,20,22,28.45,68.12,6.58,42.34,0.7499999625000018,0.6818181508264477,0.9090908677685968,57,78.73086,0.0,2.0,12
16,33,25,25.45,95.23,6.68,36.56,0.484848470156107,0.639999974400001,1.3199999472000021,74,77.282915,0.0,2.0,15
35,72,52,31.84,64.88,6.71,52.37,0.486111104359568,0.6730769101331364,1.3846153579881662,159,83.187072,1.0,2.0,17
25,68,72,18.99020948,13.03875404,5.386581395,110.9548012,0.3676470534169551,0.34722221739969145,0.9444444313271607,165,62.19067370801796,2.0,0.0,11
12,36,28,23.12,81.45,6.72,85.45,0.33333332407407434,0.4285714132653067,1.28571423979592,76,71.99844,1.0,2.0,18
78,36,43,24.11322399,81.83740888,7.576511622,285.7993805,2.1666666064814835,1.8139534461871292,0.8372092828555981,157,73.63963002412655,3.0,3.0,20
81,55,25,23.94178879,81.36073498,6.149310508,277.9626192,1.4727272459504137,3.239999870400005,2.1999999120000036,161,73.31670052178325,3.0,1.0,20
6,12,33,22.89,81.23,7.12,51.45,0.4999999583333368,0.18181817630854014,0.36363635261708027,51,71.608427,1.0,2.0,10
32,51,41,25.67,84.89,6.45,92.12,0.6274509680891968,0.7804877858417614,1.2439024086853072,124,76.50310300000001,1.0,1.0,21
90,42,43,20.87974372,82.00274423,6.502985292,202.9355362,2.1428570918367362,2.0930232071389954,0.9767441633315311,175,68.41736264547109,3.0,2.0,20
3,30,22,22.56,62.78,7.25,35.12,0.09999999666666677,0.13636363016528952,1.3636363016528954,55,69.570848,0.0,2.0,9
6,37,24,26.78,57.78,5.78,62.56,0.16216215777940116,0.24999998958333375,1.541666602430558,67,74.977164,1.0,1.0,13
73,40,39,23.67360049,82.30355102,5.623687646,240.6670497,1.8249999543750013,1.8717948238001327,1.0256409993425386,152,72.97138290267812,3.0,1.0,20
37,1,2,39.34,25.34,6.82,13.45,36.999963000037006,18.499990750004624,0.499999750000125,40,84.19179600000001,0.0,2.0,19
5,38,28,29.34,48.12,6.72,38.78,0.13157894390581729,0.17857142219387778,1.3571428086734711,71,77.061128,0.0,2.0,14
81,25,37,26.97813884,56.86798698,6.358917338,93.0468758,3.239999870400005,2.1891891300219157,0.6756756574141715,143,75.13544542985753,1.0,1.0,6
9,39,31,22.78,83.12,6.18,90.12,0.2307692248520712,0.29032257127991706,1.2580644755463073,79,71.589456,1.0,1.0,18
50,65,50,33.72,65.0,6.75,48.49,0.76923075739645,0.9999999800000005,1.2999999740000006,165,85.934,0.0,2.0,17
17,31,29,25.89,93.45,6.95,45.23,0.5483870790842877,0.5862068763376939,1.0689654803805007,77,77.849405,0.0,2.0,15
94,50,37,20.72099498,84.12177337,5.589268439,291.2986618,1.8799999624000008,2.540540471877285,1.351351314828343,181,68.29412905580467,3.0,1.0,20
45,60,55,28.71,65.12,6.74,92.03,0.7499999875000002,0.8181818033057854,1.0909090710743805,160,78.686672,1.0,2.0,17
81,44,35,25.62668378,83.52173801,5.298240069,218.1944091,1.8409090490702489,2.3142856481632674,1.2571428212244908,160,76.27806843794276,3.0,0.0,20
16,15,51,26.89,83.12,6.22,125.67,1.0666665955555603,0.3137254840445984,0.29411764129181095,82,78.293688,2.0,1.0,1
33,6,5,40.78,22.78,6.95,11.34,5.499999083333486,6.5999986800002635,1.199999760000048,44,85.033364,0.0,2.0,19
5,40,55,20.31321739,84.06846896,7.365344803,72.31040834,0.12499999687500009,0.09090908925619838,0.727272714049587,100,67.62172523804946,1.0,2.0,4
24,70,44,25.41,91.27,7.55,119.85,0.34285713795918377,0.5454545330578515,1.590909054752067,138,76.776827,2.0,3.0,16
21,59,19,28.56,55.12,6.48,70.12,0.3559321973570814,1.1052630997229946,3.105262994459842,99,77.05299199999999,1.0,1.0,5
38,45,45,22.89,82.34,6.25,110.78,0.8444444256790128,0.8444444256790128,0.9999999777777784,128,71.702666,2.0,1.0,21
15,35,72,22.89,91.56,5.98,95.67,0.428571416326531,0.20833333043981486,0.486111104359568,122,72.485444,1.0,1.0,0
3,30,15,27.45,52.78,6.05,52.34,0.09999999666666677,0.19999998666666757,1.9999998666666756,48,75.24779,1.0,1.0,13
23,126,7,29.56,47.89,6.18,85.12,0.18253968109095492,3.2857138163265978,17.999997428571795,156,77.30812399999999,1.0,1.0,7
5,38,23,26.34,58.12,5.72,65.78,0.13157894390581729,0.21739129489603065,1.652173841209833,66,74.411528,1.0,1.0,13
24,64,70,19.92816122,15.60068694,5.693655483,50.36297618,0.3749999941406251,0.34285713795918377,0.91428570122449,158,63.20496010147068,1.0,1.0,11
42,62,42,27.48,65.08,6.65,110.72,0.6774193439125913,0.9999999761904769,1.4761904410430848,146,76.89646400000001,2.0,2.0,17
22,30,68,24.15,92.34,6.42,105.23,0.7333333088888897,0.3235294070069205,0.4411764641003461,120,74.72315,2.0,1.0,0
34,60,67,25.26585718,14.84325328,6.748516005,54.84396108,0.5666666572222224,0.5074626789930944,0.8955223746936959,161,68.22553244627046,1.0,2.0,11
18,62,23,26.34,52.12,6.18,80.56,0.29032257596253913,0.7826086616257103,2.69565205671078,103,73.695128,1.0,1.0,5
38,4,2,39.89,23.89,7.05,12.78,9.499997625000594,18.99999050000475,1.9999990000005,44,84.401561,0.0,2.0,19
7,41,34,23.56,85.56,6.42,96.89,0.1707317031528853,0.20588234688581333,1.2058823174740496,82,73.085296,1.0,1.0,18
90,55,35,21.60588834,80.27389074,6.362607851,256.5528559,1.6363636066115708,2.571428497959186,1.5714285265306136,180,69.469157604898,3.0,1.0,20
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,1.8571428129251712,1.8571428129251712,0.9999999761904769,162,67.18024173308976,3.0,3.0,20
11,20,45,24.56,85.34,5.85,148.56,0.5499999725000013,0.2444444390123458,0.4444444345679015,76,74.718544,2.0,1.0,1
15,32,28,25.67,94.34,6.85,42.78,0.468749985351563,0.5357142665816333,1.1428571020408178,75,77.568118,0.0,2.0,15
18,18,20,29.58,65.34,6.75,35.67,0.9999999444444475,0.8999999550000022,0.8999999550000022,56,79.98261199999999,0.0,2.0,12
